,ts_code,symbol,name,area,industry,list_date
1886,300398.SZ,300398,飞凯材料,上海,化工原料,20141009
1887,300399.SZ,300399,天利科技,江西,互联网,20141009
1888,300400.SZ,300400,劲拓股份,深圳,专用机械,20141010
1889,300401.SZ,300401,花园生物,浙江,化学制药,20141009
1890,300402.SZ,300402,宝色股份,江苏,专用机械,20141010
1891,300403.SZ,300403,汉宇集团,广东,家用电器,20141030
1892,300404.SZ,300404,博济医药,广东,医疗保健,20150424
1893,300405.SZ,300405,科隆股份,辽宁,化工原料,20141030
1894,300406.SZ,300406,九强生物,北京,医疗保健,20141030
1895,300407.SZ,300407,凯发电气,天津,电气设备,20141203
1896,300408.SZ,300408,三环集团,广东,元器件,20141203
1897,300409.SZ,300409,道氏技术,广东,电气设备,20141203
1898,300410.SZ,300410,正业科技,广东,电器仪表,20141231
1899,300411.SZ,300411,金盾股份,浙江,专用机械,20141231
1900,300412.SZ,300412,迦南科技,浙江,医疗保健,20141231
1901,300413.SZ,300413,芒果超媒,湖南,影视音像,20150121
1902,300414.SZ,300414,中光防雷,四川,通信设备,20150513
1903,300415.SZ,300415,伊之密,广东,专用机械,20150123
1904,300416.SZ,300416,苏试试验,江苏,电器仪表,20150122
1905,300417.SZ,300417,南华仪器,广东,电器仪表,20150123
1906,300418.SZ,300418,昆仑万维,北京,互联网,20150121
1907,300419.SZ,300419,浩丰科技,北京,软件服务,20150122
1908,300420.SZ,300420,五洋停车,江苏,机械基件,20150217
1909,300421.SZ,300421,力星股份,江苏,机械基件,20150217
1910,300422.SZ,300422,博世科,广西,环境保护,20150217
1911,300423.SZ,300423,昇辉科技,山东,电气设备,20150217
1912,300424.SZ,300424,航新科技,广东,航空,20150422
1913,300425.SZ,300425,中建环能,四川,环境保护,20150216
1914,300426.SZ,300426,唐德影视,浙江,影视音像,20150217
1915,300427.SZ,300427,红相股份,福建,电气设备,20150217
1916,300428.SZ,300428,立中集团,河北,汽车配件,20150319
1917,300429.SZ,300429,强力新材,江苏,化工原料,20150324
1918,300430.SZ,300430,诚益通,北京,电器仪表,20150319
1919,300432.SZ,300432,富临精工,四川,汽车配件,20150319
1920,300433.SZ,300433,蓝思科技,湖南,元器件,20150318
1921,300434.SZ,300434,金石亚药,四川,化学制药,20150424
1922,300435.SZ,300435,中泰股份,浙江,供气供热,20150326
1923,300436.SZ,300436,广生堂,福建,化学制药,20150422
1924,300437.SZ,300437,清水源,河南,化工原料,20150423
1925,300438.SZ,300438,鹏辉能源,广东,电气设备,20150424
1926,300439.SZ,300439,美康生物,浙江,医疗保健,20150422
1927,300440.SZ,300440,运达科技,四川,软件服务,20150423
1928,300441.SZ,300441,鲍斯股份,浙江,机床制造,20150423
1929,300442.SZ,300442,润泽科技,上海,轻工机械,20150424
1930,300443.SZ,300443,金雷股份,山东,电气设备,20150422
1931,300444.SZ,300444,双杰电气,北京,电气设备,20150423
1932,300445.SZ,300445,康斯特,北京,电器仪表,20150424
1933,300446.SZ,300446,乐凯新材,河北,化工原料,20150423
1934,300447.SZ,300447,全信股份,江苏,电气设备,20150422
1935,300448.SZ,300448,浩云科技,广东,软件服务,20150424
1936,300449.SZ,300449,汉邦高科,北京,IT设备,20150422
1937,300450.SZ,300450,先导智能,江苏,专用机械,20150518
1938,300451.SZ,300451,创业慧康,浙江,软件服务,20150514
1939,300452.SZ,300452,山河药辅,安徽,化学制药,20150515
1940,300453.SZ,300453,三鑫医疗,江西,医疗保健,20150515
1941,300454.SZ,300454,深信服,深圳,软件服务,20180516
1942,300455.SZ,300455,康拓红外,北京,运输设备,20150515
1943,300456.SZ,300456,赛微电子,北京,元器件,20150514
1944,300457.SZ,300457,赢合科技,深圳,专用机械,20150514
1945,300458.SZ,300458,全志科技,广东,元器件,20150515
1946,300459.SZ,300459,汤姆猫,浙江,互联网,20150515
1947,300460.SZ,300460,惠伦晶体,广东,元器件,20150515
1948,300461.SZ,300461,田中精机,浙江,专用机械,20150519
1949,300462.SZ,300462,华铭智能,上海,IT设备,20150527
1950,300463.SZ,300463,迈克生物,四川,医疗保健,20150528
1951,300464.SZ,300464,星徽股份,广东,机械基件,20150610
1952,300465.SZ,300465,高伟达,北京,软件服务,20150528
1953,300466.SZ,300466,赛摩智能,江苏,电器仪表,20150528
1954,300467.SZ,300467,迅游科技,四川,互联网,20150527
1955,300468.SZ,300468,四方精创,深圳,软件服务,20150527
1956,300469.SZ,300469,信息发展,上海,软件服务,20150611
1957,300470.SZ,300470,中密控股,四川,机械基件,20150612
1958,300471.SZ,300471,厚普股份,四川,专用机械,20150611
1959,300472.SZ,300472,新元科技,江西,专用机械,20150611
1960,300473.SZ,300473,德尔股份,辽宁,汽车配件,20150612
1961,300474.SZ,300474,景嘉微,湖南,元器件,20160331
